Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000165810	ENSG00000165810.17	181040225	181061521	5	BTNL9
ENSG00000196655	ENSG00000196655.12	119018763	119025454	11	TRAPPC4
ENSG00000228319	ENSG00000228319.1	56214373	56216942	13	SPATA2P1
ENSG00000204392	ENSG00000204392.11	31797396	31806966	6	LSM2
ENSG00000239605	ENSG00000239605.11	47045538	47155308	2	STPG4
ENSG00000287641	ENSG00000287641.1	34692820	34694174	3	AC007483.1
ENSG00000254398	ENSG00000254398.1	28679405	28682252	15	AC055876.2
ENSG00000235534	ENSG00000235534.1	34872641	34873854	3	FECHP1
ENSG00000175877	ENSG00000175877.4	73861159	73865890	7	TMEM270
ENSG00000176399	ENSG00000176399.4	22446824	22455740	9	DMRTA1
ENSG00000253230	ENSG00000253230.9	9899871	9906678	8	LINC00599
ENSG00000244607	ENSG00000244607.7	42705756	42773253	3	CCDC13
ENSG00000230845	ENSG00000230845.1	52873014	52879940	6	GSTA10P
ENSG00000226556	ENSG00000226556.2	47438736	47439774	X	NPM1P49
ENSG00000250409	ENSG00000250409.1	133387773	133388549	5	AC010608.1
ENSG00000261467	ENSG00000261467.2	73985992	73988767	7	AC099398.1
ENSG00000234840	ENSG00000234840.2	22646200	22824213	9	LINC01239
ENSG00000278982	ENSG00000278982.1	7411599	7413467	10	AL139125.1
ENSG00000235730	ENSG00000235730.2	131619013	131619951	X	OR2AF1P
ENSG00000236735	ENSG00000236735.3	68600099	68600473	X	RPL31P63
ENSG00000232591	ENSG00000232591.2	7444340	7472040	10	LINC02642
ENSG00000224078	ENSG00000224078.15	24978583	25420336	15	SNHG14
ENSG00000284418	ENSG00000284418.2	22703516	23438700	9	AL391117.1
ENSG00000227183	ENSG00000227183.3	131646639	131646890	X	HDGFP1
ENSG00000234463	ENSG00000234463.1	68645326	68645527	X	COX6CP12
ENSG00000165837	ENSG00000165837.12	45534522	45615739	13	ERICH6B
ENSG00000267986	ENSG00000267986.1	8581160	8582715	19	AC130469.1
ENSG00000236739	ENSG00000236739.3	22747700	22748234	9	CLIC4P1
ENSG00000287696	ENSG00000287696.1	23291544	23293923	9	AL357614.1
ENSG00000224549	ENSG00000224549.1	22767175	22768316	9	AC017067.1
ENSG00000127366	ENSG00000127366.5	141790217	141791367	7	TAS2R5
ENSG00000232503	ENSG00000232503.1	130776646	130776957	2	CYCSP8
ENSG00000228089	ENSG00000228089.1	131803312	131803741	X	PNKDP1
ENSG00000147124	ENSG00000147124.12	47445879	47482946	X	ZNF41
ENSG00000223663	ENSG00000223663.2	1378666	1379032	1	NDUFB4P8
ENSG00000258949	ENSG00000258949.1	44898908	44911863	14	AL049870.3
ENSG00000165195	ENSG00000165195.15	15319451	15335580	X	PIGA
ENSG00000213468	ENSG00000213468.7	131688779	131830862	X	FIRRE
ENSG00000241926	ENSG00000241926.1	141801315	141802059	7	MTCO1P55
ENSG00000179476	ENSG00000179476.8	44897275	44907257	14	C14orf28
ENSG00000224354	ENSG00000224354.2	141802482	141803487	7	MTND2P5
ENSG00000233906	ENSG00000233906.1	23671788	23672399	9	AL445623.1
ENSG00000204390	ENSG00000204390.10	31809619	31815283	6	HSPA1L
ENSG00000239648	ENSG00000239648.1	141803701	141804652	7	MTND1P3
ENSG00000227607	ENSG00000227607.2	23632106	23632360	9	SUMO2P2
ENSG00000240677	ENSG00000240677.1	141811805	141812257	7	MYL6P4
ENSG00000283982	ENSG00000283982.1	23500691	23672387	9	AL445623.2
ENSG00000232786	ENSG00000232786.1	45552863	45553136	13	TIMM9P3
ENSG00000277246	ENSG00000277246.1	108267320	108267734	13	AL157762.1
ENSG00000286697	ENSG00000286697.1	134028608	134032597	2	AC092623.1
ENSG00000204389	ENSG00000204389.10	31815543	31817946	6	HSPA1A
ENSG00000102524	ENSG00000102524.11	108251240	108308484	13	TNFSF13B
ENSG00000230970	ENSG00000230970.4	42702541	42706776	3	HHATL-AS1
ENSG00000238197	ENSG00000238197.6	32728097	32747065	21	PAXBP1-AS1
ENSG00000183605	ENSG00000183605.17	119140767	119165714	10	SFXN4
ENSG00000225611	ENSG00000225611.1	42770612	42773635	3	LINC02158
ENSG00000263017	ENSG00000263017.1	959034	959366	17	AC036164.1
ENSG00000273291	ENSG00000273291.5	42809446	43055871	3	AC092042.3
ENSG00000167693	ENSG00000167693.17	799310	979776	17	NXN
ENSG00000230121	ENSG00000230121.1	7533207	7536565	10	AL445070.1
ENSG00000204919	ENSG00000204919.1	57140918	57143939	13	PRR20A
ENSG00000189167	ENSG00000189167.11	32303700	32315344	13	ZAR1L
ENSG00000213958	ENSG00000213958.2	181961212	181962478	2	KRT18P29
ENSG00000150722	ENSG00000150722.10	181954241	182131398	2	PPP1R1C
ENSG00000185774	ENSG00000185774.16	20728606	21948772	4	KCNIP4
ENSG00000127863	ENSG00000127863.15	23570370	23676104	13	TNFRSF19
ENSG00000241418	ENSG00000241418.1	131795657	131796167	X	MCRIP2P1
ENSG00000235190	ENSG00000235190.1	131937670	131937853	X	AL008629.1
ENSG00000215515	ENSG00000215515.2	32384660	32386108	13	IFIT1P1
ENSG00000272689	ENSG00000272689.1	30421206	30421536	22	AC004832.4
ENSG00000219870	ENSG00000219870.2	9179385	9179606	X	BRK1P1
ENSG00000187812	ENSG00000187812.12	75775553	75786898	15	AC019294.1
ENSG00000228543	ENSG00000228543.1	9249920	9275206	X	AC003684.1
ENSG00000213721	ENSG00000213721.3	42113365	42113620	7	HMGN2P30
ENSG00000273328	ENSG00000273328.5	42809414	42908105	3	AC099329.2
ENSG00000099999	ENSG00000099999.15	30368811	30421771	22	RNF215
ENSG00000106571	ENSG00000106571.14	41960949	42237870	7	GLI3
ENSG00000139618	ENSG00000139618.15	32315086	32400266	13	BRCA2
ENSG00000240747	ENSG00000240747.7	42809483	42942792	3	KRBOX1
ENSG00000177138	ENSG00000177138.17	9024232	9295682	X	FAM9B
ENSG00000204387	ENSG00000204387.14	31834608	31839766	6	SNHG32
ENSG00000103657	ENSG00000103657.14	63608618	63833948	15	HERC1
ENSG00000159086	ENSG00000159086.15	32733899	32771792	21	PAXBP1
ENSG00000249073	ENSG00000249073.1	133913677	133917269	5	WSPAR
ENSG00000261820	ENSG00000261820.1	75791470	75792683	15	DNM1P49
ENSG00000228767	ENSG00000228767.1	35215705	35217149	3	KRT8P18
ENSG00000204764	ENSG00000204764.14	170861870	171300015	5	RANBP17
ENSG00000180483	ENSG00000180483.7	31377164	31390590	20	DEFB119
ENSG00000113583	ENSG00000113583.8	133955510	133968674	5	C5orf15
ENSG00000118181	ENSG00000118181.11	119015712	119018691	11	RPS25
ENSG00000261188	ENSG00000261188.1	26512537	26514568	22	Z95115.1
ENSG00000154277	ENSG00000154277.13	41256413	41268455	4	UCHL1
ENSG00000272795	ENSG00000272795.1	109815047	109815410	4	AC126283.1
ENSG00000283384	ENSG00000283384.1	108335354	108448316	13	AL138694.1
ENSG00000232087	ENSG00000232087.1	108480226	108481817	13	HCFC2P1
ENSG00000204918	ENSG00000204918.3	57147488	57150509	13	PRR20B
ENSG00000187860	ENSG00000187860.10	30356635	30378658	22	CCDC157
ENSG00000153044	ENSG00000153044.10	69189574	69210357	5	CENPH
ENSG00000204548	ENSG00000204548.4	31404845	31412838	20	DEFB121
ENSG00000275620	ENSG00000275620.1	63253978	63261615	20	AL121827.2
ENSG00000206552	ENSG00000206552.4	42934252	42936785	3	KRBOX1-AS1
ENSG00000226626	ENSG00000226626.2	23681894	23682662	9	NOP56P2
ENSG00000101198	ENSG00000101198.15	63240784	63272694	20	NKAIN4
ENSG00000144648	ENSG00000144648.16	42804752	42887974	3	ACKR2
ENSG00000250579	ENSG00000250579.2	5132101	5140119	5	AC022424.1
ENSG00000266120	ENSG00000266120.1	30238741	30252237	17	AC104984.4
ENSG00000166407	ENSG00000166407.14	8224309	8268716	11	LMO1
ENSG00000108578	ENSG00000108578.15	30248203	30292056	17	BLMH
ENSG00000214460	ENSG00000214460.3	85427453	85427966	6	TPT1P6
ENSG00000196741	ENSG00000196741.5	47483571	47484823	X	LINC01560
ENSG00000224524	ENSG00000224524.1	15490530	15490767	21	CYCSP42
ENSG00000262003	ENSG00000262003.1	909632	911212	17	AC087392.1
ENSG00000235636	ENSG00000235636.1	47512602	47513483	X	NUS1P1
ENSG00000275387	ENSG00000275387.1	54842014	54842134	X	AL049732.1
ENSG00000224247	ENSG00000224247.1	15493932	15496124	21	AJ009632.1
ENSG00000137700	ENSG00000137700.18	119024114	119030906	11	SLC37A4
ENSG00000262133	ENSG00000262133.1	877902	880093	17	AC087392.2
ENSG00000229425	ENSG00000229425.3	15368966	15627342	21	AJ009632.2
ENSG00000232375	ENSG00000232375.1	43037121	43037451	3	AC092042.2
ENSG00000182983	ENSG00000182983.15	42906142	42919334	3	ZNF662
ENSG00000099995	ENSG00000099995.19	30331988	30356919	22	SF3A1
ENSG00000101400	ENSG00000101400.5	33407955	33443892	20	SNTA1
ENSG00000229665	ENSG00000229665.8	57140918	57157082	13	PRR20C
ENSG00000149735	ENSG00000149735.7	64934471	64935893	11	GPHA2
ENSG00000236519	ENSG00000236519.1	44802577	44804717	21	LINC01424
ENSG00000255210	ENSG00000255210.1	110049528	110050160	11	AP001889.1
ENSG00000238284	ENSG00000238284.2	42661716	42706447	7	LINC01448
ENSG00000254798	ENSG00000254798.1	109907004	109907741	11	TFAMP2
ENSG00000287245	ENSG00000287245.1	109946581	109975996	11	AP001981.2
ENSG00000229161	ENSG00000229161.2	42794906	42802494	7	TCP1P1
ENSG00000270423	ENSG00000270423.1	109985243	109985660	11	AP001981.1
ENSG00000224776	ENSG00000224776.3	109982192	109983043	11	RPSAP50
ENSG00000149289	ENSG00000149289.11	110093392	110171841	11	ZC3H12C
ENSG00000258402	ENSG00000258402.1	76280943	76310066	14	AC016526.1
ENSG00000280078	ENSG00000280078.1	76279173	76283103	14	AC016526.3
ENSG00000280571	ENSG00000280571.2	42705756	42804518	3	AC006059.2
ENSG00000231359	ENSG00000231359.3	6490793	6491098	7	AC072052.1
ENSG00000198718	ENSG00000198718.13	44962190	45074431	14	TOGARAM1
ENSG00000134056	ENSG00000134056.12	69217760	69230158	5	MRPS36
ENSG00000068971	ENSG00000068971.14	64917553	64934475	11	PPP2R5B
ENSG00000173811	ENSG00000173811.11	42732575	42746768	3	CCDC13-AS1
ENSG00000010379	ENSG00000010379.16	220621	262873	12	SLC6A13
ENSG00000174156	ENSG00000174156.15	52896639	52909698	6	GSTA3
ENSG00000204547	ENSG00000204547.7	31421436	31429180	20	DEFB122
ENSG00000230914	ENSG00000230914.3	2383698	2388652	7	AC004840.1
ENSG00000271163	ENSG00000271163.1	2393847	2394131	7	AC004840.2
ENSG00000130052	ENSG00000130052.13	68647666	68725842	X	STARD8
ENSG00000084733	ENSG00000084733.11	26034084	26137454	2	RAB10
ENSG00000028137	ENSG00000028137.19	12166991	12209228	1	TNFRSF1B
ENSG00000249485	ENSG00000249485.1	14797125	14798400	5	RBBP4P1
ENSG00000286970	ENSG00000286970.1	14728587	14734258	5	AC010491.2
ENSG00000137710	ENSG00000137710.16	109864295	110296712	11	RDX
ENSG00000115204	ENSG00000115204.15	27309492	27325680	2	MPV17
ENSG00000154122	ENSG00000154122.14	14704800	14871778	5	ANKH
ENSG00000259589	ENSG00000259589.2	63675146	63713758	15	AC073167.1
ENSG00000136002	ENSG00000136002.19	130836916	131047263	2	ARHGEF4
ENSG00000242114	ENSG00000242114.6	30425623	30429054	22	MTFP1
ENSG00000177679	ENSG00000177679.16	76201896	76287288	7	SRRM3
ENSG00000258376	ENSG00000258376.2	73242651	73245979	14	AC004846.1
ENSG00000242768	ENSG00000242768.2	21656511	21656869	4	AC096576.1
ENSG00000235440	ENSG00000235440.1	26101317	26102136	2	AC011742.3
ENSG00000248343	ENSG00000248343.1	21697450	21719026	4	AC096576.2
ENSG00000100767	ENSG00000100767.16	73237497	73274640	14	PAPLN
ENSG00000286318	ENSG00000286318.1	21520854	21523709	4	AC096576.6
ENSG00000250092	ENSG00000250092.2	21582096	21613728	4	AC096576.3
ENSG00000254106	ENSG00000254106.1	109883182	109884751	5	LINC01848
ENSG00000250243	ENSG00000250243.3	21304468	21350673	4	AC110296.1
ENSG00000230273	ENSG00000230273.1	17981192	17981572	17	AC087163.1
ENSG00000204388	ENSG00000204388.7	31827738	31830254	6	HSPA1B
ENSG00000128050	ENSG00000128050.8	56435741	56464579	4	PAICS
ENSG00000232344	ENSG00000232344.2	18010643	18011822	17	AC087163.2
ENSG00000213707	ENSG00000213707.2	26560526	26561088	22	HMGB1P10
ENSG00000253224	ENSG00000253224.1	109884610	109885423	5	PGAM5P1
ENSG00000285565	ENSG00000285565.1	31828834	31839719	6	AL671762.1
ENSG00000128294	ENSG00000128294.16	26521996	26596717	22	TPST2
ENSG00000100003	ENSG00000100003.18	30396941	30425303	22	SEC14L2
ENSG00000171962	ENSG00000171962.18	17972813	18016889	17	DRC3
ENSG00000179454	ENSG00000179454.13	44924319	45042322	14	KLHL28
ENSG00000255746	ENSG00000255746.1	253442	257299	12	AC007406.2
ENSG00000253399	ENSG00000253399.1	1358479	1359461	4	AC078852.1
ENSG00000163945	ENSG00000163945.17	1347208	1388049	4	UVSSA
ENSG00000125877	ENSG00000125877.13	3208868	3223870	20	ITPA
ENSG00000259378	ENSG00000259378.1	50944663	50945996	15	DCAF13P3
ENSG00000270569	ENSG00000270569.1	57429548	57430693	2	AC068276.1
ENSG00000081014	ENSG00000081014.11	50908672	51005895	15	AP4E1
ENSG00000271615	ENSG00000271615.1	57755428	57766052	2	ACTG1P22
ENSG00000237464	ENSG00000237464.1	45487613	45490248	20	AL031663.2
ENSG00000237068	ENSG00000237068.1	45490818	45491671	20	RPL5P2
ENSG00000184515	ENSG00000184515.11	102153708	102155977	X	BEX5
ENSG00000182035	ENSG00000182035.12	38581195	38588463	20	ADIG
ENSG00000136213	ENSG00000136213.10	2403588	2448484	7	CHST12
ENSG00000036448	ENSG00000036448.10	2045046	2165552	8	MYOM2
ENSG00000166401	ENSG00000166401.15	63970029	64019779	18	SERPINB8
ENSG00000139842	ENSG00000139842.15	113208193	113267108	13	CUL4A
ENSG00000255355	ENSG00000255355.1	59669312	59676041	11	AP000640.2
ENSG00000275572	ENSG00000275572.1	2474844	2476894	7	GRIFIN
ENSG00000232111	ENSG00000232111.2	9402751	9404802	X	AC073488.1
ENSG00000205318	ENSG00000205318.5	10633762	10634695	6	GCNT2P1
ENSG00000129473	ENSG00000129473.9	23298790	23311759	14	BCL2L2
ENSG00000258711	ENSG00000258711.2	50956259	50962002	14	AL358334.2
ENSG00000213959	ENSG00000213959.2	38614913	38615476	20	AL035419.1
ENSG00000124143	ENSG00000124143.10	38601934	38651035	20	ARHGAP40
ENSG00000237580	ENSG00000237580.1	206116110	206116500	2	GCSHP3
ENSG00000231955	ENSG00000231955.1	206115547	206122323	2	AC007383.3
ENSG00000162458	ENSG00000162458.13	15756607	15786594	1	FBLIM1
ENSG00000181619	ENSG00000181619.11	59429022	59465342	14	GPR135
ENSG00000285763	ENSG00000285763.1	10659498	10692860	6	AL358777.1
ENSG00000137434	ENSG00000137434.11	10671418	10694797	6	C6orf52
ENSG00000023228	ENSG00000023228.14	206114817	206159509	2	NDUFS1
ENSG00000050130	ENSG00000050130.18	59484443	59505410	14	JKAMP
ENSG00000255538	ENSG00000255538.1	59748811	59749574	11	OR10V2P
ENSG00000131732	ENSG00000131732.12	81301587	81313297	5	ZCCHC9
ENSG00000091106	ENSG00000091106.19	32224453	32265732	2	NLRC4
ENSG00000166900	ENSG00000166900.17	59713456	59805882	11	STX3
ENSG00000101438	ENSG00000101438.4	38724486	38729372	20	SLC32A1
ENSG00000254094	ENSG00000254094.1	1356581	1358075	4	AC078852.2
ENSG00000215277	ENSG00000215277.8	23185316	23273477	14	RNF212B
ENSG00000124614	ENSG00000124614.16	34417454	34426069	6	RPS10
ENSG00000177103	ENSG00000177103.15	117427772	117817525	11	DSCAML1
ENSG00000254606	ENSG00000254606.1	28516832	28519341	11	AC013714.1
ENSG00000238149	ENSG00000238149.1	28287235	28287625	11	AC104978.1
ENSG00000271332	ENSG00000271332.1	28144907	28145204	11	AC023206.1
ENSG00000198586	ENSG00000198586.14	170990823	171231314	2	TLK1
ENSG00000169519	ENSG00000169519.21	28108248	28527041	11	METTL15
ENSG00000196503	ENSG00000196503.4	56505209	56525481	4	ARL9
ENSG00000233221	ENSG00000233221.7	130830978	130836994	2	AC133785.1
ENSG00000112599	ENSG00000112599.9	42183284	42194956	6	GUCA1B
ENSG00000284479	ENSG00000284479.1	131035092	131035262	2	SMIM39
ENSG00000135318	ENSG00000135318.12	85449584	85495791	6	NT5E
ENSG00000248590	ENSG00000248590.2	56593004	56595681	4	GLDCP1
ENSG00000211804	ENSG00000211804.3	22096032	22096619	14	TRDV1
ENSG00000249693	ENSG00000249693.3	56530606	56603507	4	THEGL
ENSG00000270433	ENSG00000270433.1	23293852	23295798	14	H3F3AP2
ENSG00000215271	ENSG00000215271.8	23272422	23299447	14	HOMEZ
ENSG00000221887	ENSG00000221887.6	63949301	63981774	18	HMSD
ENSG00000282306	ENSG00000282306.1	9404954	9405731	X	AC073488.7
ENSG00000145362	ENSG00000145362.19	112818032	113384221	4	ANK2
ENSG00000282501	ENSG00000282501.1	9406025	9406778	X	AC073488.9
ENSG00000226298	ENSG00000226298.1	15694300	15696581	21	RAD23BP3
ENSG00000282358	ENSG00000282358.1	9406952	9407708	X	AC073488.8
ENSG00000287818	ENSG00000287818.1	122711887	122718814	6	AL512283.3
ENSG00000282668	ENSG00000282668.1	9407861	9408638	X	AC073488.10
ENSG00000272472	ENSG00000272472.1	122643388	122644771	6	AL512283.1
ENSG00000282299	ENSG00000282299.1	9408818	9409571	X	AC073488.5
ENSG00000277408	ENSG00000277408.1	122531123	122531436	6	Z99129.2
ENSG00000283667	ENSG00000283667.1	63966406	63970181	18	AC009802.1
ENSG00000258643	ENSG00000258643.5	23306835	23325369	14	BCL2L2-PABPN1
ENSG00000174780	ENSG00000174780.17	56467617	56503681	4	SRP72
ENSG00000282697	ENSG00000282697.1	9409748	9410501	X	AC073488.11
ENSG00000119820	ENSG00000119820.11	32277904	32316594	2	YIPF4
ENSG00000251173	ENSG00000251173.1	41220074	41256727	4	UCHL1-AS1
ENSG00000282222	ENSG00000282222.1	9410789	9411545	X	AC073488.4
ENSG00000281955	ENSG00000281955.1	9411701	9412478	X	AC073488.3
ENSG00000135549	ENSG00000135549.15	122471917	122726373	6	PKIB
ENSG00000281941	ENSG00000281941.1	9412772	9413522	X	AC073488.2
ENSG00000282300	ENSG00000282300.1	9413816	9414569	X	AC073488.6
ENSG00000138175	ENSG00000138175.9	102673731	102714397	10	ARL3
ENSG00000109534	ENSG00000109534.17	109815510	109824740	4	GAR1
ENSG00000280198	ENSG00000280198.1	18026072	18026771	17	AC087163.3
ENSG00000211805	ENSG00000211805.1	22105343	22105846	14	TRAV24
ENSG00000171953	ENSG00000171953.16	17977409	18039209	17	ATPAF2
ENSG00000251525	ENSG00000251525.6	102173100	102185021	X	TCP11X3P
ENSG00000268051	ENSG00000268051.1	37963853	37964790	19	AC008395.1
ENSG00000268499	ENSG00000268499.1	38199836	38200934	19	AC011479.2
ENSG00000237073	ENSG00000237073.1	113570190	113590019	9	AL162727.2
ENSG00000269653	ENSG00000269653.1	38184376	38186265	19	AC011479.3
ENSG00000235194	ENSG00000235194.9	23295652	23302859	14	PPP1R3E
ENSG00000105738	ENSG00000105738.11	37907208	38208369	19	SIPA1L3
ENSG00000287970	ENSG00000287970.1	2130550	2134880	8	AC245164.2
ENSG00000184900	ENSG00000184900.15	44805617	44818779	21	SUMO3
ENSG00000101298	ENSG00000101298.15	1266280	1309328	20	SNPH
ENSG00000165076	ENSG00000165076.13	141836286	141841487	7	PRSS37
ENSG00000158435	ENSG00000158435.8	101252886	101270316	2	CNOT11
ENSG00000234964	ENSG00000234964.4	59781318	59781722	11	FABP5P7
ENSG00000231539	ENSG00000231539.1	42829672	42844438	7	AC010132.1
ENSG00000172289	ENSG00000172289.3	59712916	59713845	11	OR10V1
ENSG00000211806	ENSG00000211806.2	22112347	22113031	14	TRAV25
ENSG00000261019	ENSG00000261019.1	42901272	42902639	7	AC010132.4
ENSG00000177558	ENSG00000177558.3	35224800	35228729	19	FAM187B
ENSG00000254743	ENSG00000254743.1	59741325	59742049	11	OR10V3P
ENSG00000254477	ENSG00000254477.2	59752578	59754975	11	AP000640.1
ENSG00000260601	ENSG00000260601.1	12545482	12546684	16	AC131391.1
ENSG00000262497	ENSG00000262497.1	35232291	35233003	19	FAM187B2P
ENSG00000254403	ENSG00000254403.1	59728519	59729492	11	OR10Y1P
ENSG00000241641	ENSG00000241641.1	12081237	12081902	16	RPS23P6
ENSG00000240131	ENSG00000240131.1	23229961	23230116	14	AL049829.1
ENSG00000259899	ENSG00000259899.1	12560756	12611044	16	AC010333.2
ENSG00000243236	ENSG00000243236.6	52939726	52957521	6	GSTA9P
ENSG00000175604	ENSG00000175604.2	12086746	12090302	16	AC007601.1
ENSG00000100836	ENSG00000100836.10	23321289	23326185	14	PABPN1
ENSG00000151838	ENSG00000151838.12	59504539	59576812	14	CCDC175
ENSG00000261293	ENSG00000261293.1	12093627	12095307	16	AC007601.2
ENSG00000260488	ENSG00000260488.1	11976851	11977850	16	AC007216.1
ENSG00000100122	ENSG00000100122.7	26599278	26618027	22	CRYBB1
ENSG00000260723	ENSG00000260723.1	12372812	12373899	16	AC007598.1
ENSG00000259876	ENSG00000259876.1	12556353	12557694	16	AC010333.1
ENSG00000287172	ENSG00000287172.1	76185020	76399490	2	AC073091.3
ENSG00000259762	ENSG00000259762.1	85750336	85752901	15	AC021739.5
ENSG00000227151	ENSG00000227151.4	57160632	57163653	13	PRR20D
ENSG00000259416	ENSG00000259416.2	85754941	85756237	15	AC021739.3
ENSG00000244588	ENSG00000244588.5	1226056	1296421	20	RAD21L1
ENSG00000048471	ENSG00000048471.14	11976734	12574287	16	SNX29
ENSG00000228209	ENSG00000228209.1	76258034	76258897	2	AC073091.1
ENSG00000287474	ENSG00000287474.1	75799974	76208703	2	AC110614.1
ENSG00000268764	ENSG00000268764.1	38108500	38109533	19	AC011465.1
ENSG00000271356	ENSG00000271356.1	76260755	76261661	2	AC073091.2
ENSG00000232102	ENSG00000232102.1	23765934	23766104	13	MTCO3P2
ENSG00000233107	ENSG00000233107.1	76106016	76107324	2	SUCLA2P2
ENSG00000272754	ENSG00000272754.1	32321638	32323002	2	AL133245.1
ENSG00000205861	ENSG00000205861.12	23888842	23897263	13	PCOTH
ENSG00000287749	ENSG00000287749.1	76197855	76252927	2	AC073091.4
ENSG00000286326	ENSG00000286326.1	26597028	26611453	22	Z95115.2
ENSG00000258782	ENSG00000258782.3	59479274	59525437	14	AL121694.1
ENSG00000288014	ENSG00000288014.1	52970650	52970866	6	AL121969.1
ENSG00000136274	ENSG00000136274.9	45080437	45088969	7	NACAD
ENSG00000168070	ENSG00000168070.12	64937517	64972108	11	MAJIN
ENSG00000256646	ENSG00000256646.7	42909273	42932174	7	AC010132.3
ENSG00000126790	ENSG00000126790.12	59460363	59484408	14	L3HYPDH
ENSG00000287258	ENSG00000287258.1	122562172	122621014	6	AL512283.2
ENSG00000231148	ENSG00000231148.1	31913143	31913754	10	HMGB1P7
ENSG00000279114	ENSG00000279114.1	122471923	122484161	6	Z99129.3
ENSG00000027001	ENSG00000027001.10	23730189	23889400	13	MIPEP
ENSG00000211807	ENSG00000211807.3	22123318	22124285	14	TRAV26-1
ENSG00000180245	ENSG00000180245.6	109827972	109849123	4	RRH
ENSG00000165322	ENSG00000165322.18	31805398	31928876	10	ARHGAP12
ENSG00000268758	ENSG00000268758.7	6952500	6997872	19	ADGRE4P
ENSG00000136197	ENSG00000136197.12	42908726	42912305	7	C7orf25
ENSG00000186577	ENSG00000186577.14	34246381	34249108	6	SMIM29
ENSG00000258744	ENSG00000258744.2	24443016	24508688	14	AL132800.1
ENSG00000242952	ENSG00000242952.1	76634775	76635661	14	RPSAP3
ENSG00000092009	ENSG00000092009.10	24505353	24508265	14	CMA1
ENSG00000249590	ENSG00000249590.7	30409255	30428990	22	AC004832.3
ENSG00000126226	ENSG00000126226.22	113177536	113208715	13	PCID2
ENSG00000119715	ENSG00000119715.15	76310712	76501837	14	ESRRB
ENSG00000264956	ENSG00000264956.2	22266395	22288301	17	AC138761.1
ENSG00000034239	ENSG00000034239.11	48710789	48735311	8	EFCAB1
ENSG00000268845	ENSG00000268845.1	6953211	6954904	19	AC025278.1
ENSG00000266691	ENSG00000266691.1	22277867	22279289	17	AC138761.2
ENSG00000273350	ENSG00000273350.1	30420512	30420912	22	AC004832.5
ENSG00000169258	ENSG00000169258.7	176595802	176610156	5	GPRIN1
ENSG00000183423	ENSG00000183423.12	109848107	109872315	4	LRIT3
ENSG00000244953	ENSG00000244953.1	43943787	43947206	11	AC087521.1
ENSG00000258944	ENSG00000258944.1	73272182	73274081	14	AC004846.2
ENSG00000275239	ENSG00000275239.4	41657708	41699072	9	FAM242F
ENSG00000146731	ENSG00000146731.11	56051685	56063989	7	CCT6A
ENSG00000187479	ENSG00000187479.8	43925342	43943878	11	C11orf96
ENSG00000261394	ENSG00000261394.1	12366982	12372582	16	AC007598.2
ENSG00000106588	ENSG00000106588.11	42916861	42932185	7	PSMA2
ENSG00000254409	ENSG00000254409.3	43921059	44001157	11	AC087521.3
ENSG00000250847	ENSG00000250847.1	121195980	121196210	5	AC010350.1
ENSG00000211808	ENSG00000211808.3	22132553	22133034	14	TRAV8-7
ENSG00000278979	ENSG00000278979.1	12374355	12376032	16	AC007598.3
ENSG00000183655	ENSG00000183655.13	85759326	85794925	15	KLHL25
ENSG00000229855	ENSG00000229855.9	121164687	121359869	5	AC008568.1
ENSG00000253773	ENSG00000253773.3	95204456	95811254	8	C8orf37-AS1
ENSG00000261480	ENSG00000261480.1	28719377	28738431	15	GOLGA8M
ENSG00000074276	ENSG00000074276.10	176542511	176595974	5	CDHR2
ENSG00000178130	ENSG00000178130.9	22298691	22299893	17	FAM27E5
ENSG00000113387	ENSG00000113387.12	32531633	32604079	5	SUB1
ENSG00000188626	ENSG00000188626.6	28701954	28738384	15	GOLGA8M
ENSG00000196431	ENSG00000196431.4	26621963	26630669	22	CRYBA4
ENSG00000278001	ENSG00000278001.1	41700682	41701096	9	AL591926.4
ENSG00000259195	ENSG00000259195.1	85770990	85771163	15	AC021739.1
ENSG00000280776	ENSG00000280776.2	161907111	162001536	5	LINC01202
ENSG00000274688	ENSG00000274688.1	41700480	41700696	9	AL591926.1
ENSG00000279860	ENSG00000279860.1	121363002	121365314	5	AC008568.2
ENSG00000266806	ENSG00000266806.1	22331597	22332410	17	AC087575.1
ENSG00000180424	ENSG00000180424.7	31440632	31450257	20	DEFB123
ENSG00000280232	ENSG00000280232.1	85498441	85499058	6	AL589666.2
ENSG00000271659	ENSG00000271659.1	95514045	95514520	9	AL161729.4
ENSG00000244088	ENSG00000244088.1	121575848	121576320	5	RPL23AP44
ENSG00000253945	ENSG00000253945.1	95403802	95403894	8	AC024995.1
ENSG00000276399	ENSG00000276399.1	22406019	22413744	17	AC209154.1
ENSG00000213661	ENSG00000213661.3	121616247	121616807	5	AC106806.1
ENSG00000253872	ENSG00000253872.1	95505406	95527524	8	AC083836.1
ENSG00000261020	ENSG00000261020.1	22420022	22424731	17	AC132825.3
ENSG00000249600	ENSG00000249600.1	121671373	121671872	5	AC106806.2
ENSG00000266885	ENSG00000266885.2	22435390	22439033	17	AC132825.4
ENSG00000236453	ENSG00000236453.5	94022833	94066661	7	AC003092.1
